partida_id,rodada,data_realizacao,status,time_mandante_id,mandante,time_visitante_id,visitante,placar_mandante,placar_visitante,resultado,total_gols,pontos_mandante,pontos_visitante,mandante_media_pontos_5j,mandante_media_gols_feitos_5j,mandante_media_gols_sofridos_5j,visitante_media_pontos_5j,visitante_media_gols_feitos_5j,visitante_media_gols_sofridos_5j
27655,2,2026-02-04,finalizado,18,Flamengo,44,Internacional,1.0,1.0,empate,2,1,1,0.0,1.0,2.0,0.0,0.0,1.0
27656,2,2026-02-05,finalizado,23,Vasco,5,Chapecoense,1.0,1.0,empate,2,1,1,0.0,1.0,2.0,3.0,4.0,2.0
27660,2,2026-02-05,finalizado,37,Cruzeiro,84,Coritiba,1.0,2.0,vitoria_visitante,3,0,3,0.0,0.0,4.0,0.0,0.0,1.0
27661,2,2026-02-04,finalizado,45,Grêmio,22,Botafogo,5.0,3.0,vitoria_mandante,8,3,0,0.0,1.0,2.0,3.0,4.0,0.0
27658,2,2026-02-04,finalizado,56,Palmeiras,102,Vitória,5.0,1.0,vitoria_mandante,6,3,0,1.0,2.0,2.0,3.0,2.0,0.0
27657,2,2026-02-04,finalizado,63,Santos,57,São Paulo,1.0,1.0,empate,2,1,1,0.0,2.0,4.0,3.0,2.0,1.0
27659,2,2026-02-04,finalizado,64,Bragantino,30,Atlético-MG,1.0,0.0,vitoria_mandante,1,3,0,3.0,1.0,0.0,1.0,2.0,2.0
27663,2,2026-02-05,finalizado,68,Bahia,26,Fluminense,1.0,1.0,empate,2,1,1,3.0,2.0,1.0,3.0,2.0,1.0
27664,2,2026-02-04,finalizado,81,Remo,60,Mirassol,2.0,2.0,empate,4,1,1,0.0,0.0,2.0,3.0,2.0,1.0
27662,2,2026-02-19,finalizado,185,Athletico-PR,65,Corinthians,0.0,1.0,vitoria_visitante,1,0,3,3.0,1.0,0.0,0.0,1.0,2.0
27674,3,2026-02-11,finalizado,5,Chapecoense,84,Coritiba,3.0,3.0,empate,6,1,1,2.0,2.5,1.5,1.5,1.0,1.0
27666,3,2026-02-11,finalizado,23,Vasco,68,Bahia,0.0,1.0,vitoria_visitante,1,0,3,0.5,1.0,1.5,2.0,1.5,1.0
27665,3,2026-02-12,finalizado,26,Fluminense,22,Botafogo,1.0,0.0,vitoria_mandante,1,3,0,2.0,1.5,1.0,1.5,3.5,2.5
27670,3,2026-02-11,finalizado,30,Atlético-MG,81,Remo,3.0,3.0,empate,6,1,1,0.5,1.0,1.5,0.5,1.0,2.0
27671,3,2026-02-12,finalizado,44,Internacional,56,Palmeiras,1.0,3.0,vitoria_visitante,4,0,3,0.5,0.5,1.0,2.0,3.5,1.5
27667,3,2026-02-11,finalizado,57,São Paulo,45,Grêmio,2.0,0.0,vitoria_mandante,2,3,0,2.0,1.5,1.0,1.5,3.0,2.5
27669,3,2026-02-11,finalizado,60,Mirassol,37,Cruzeiro,2.0,2.0,empate,4,1,1,2.0,2.0,1.5,0.0,0.5,3.0
27668,3,2026-02-12,finalizado,65,Corinthians,64,Bragantino,2.0,0.0,vitoria_mandante,2,3,0,1.5,1.0,1.0,3.0,1.0,0.0
27673,3,2026-02-10,finalizado,102,Vitória,18,Flamengo,1.0,2.0,vitoria_visitante,3,0,3,1.5,1.5,2.5,0.5,1.0,1.5
27672,3,2026-02-12,finalizado,185,Athletico-PR,63,Santos,2.0,1.0,vitoria_mandante,3,3,0,1.5,0.5,0.5,0.5,1.5,2.5
27680,4,2026-02-25,finalizado,37,Cruzeiro,65,Corinthians,1.0,1.0,empate,2,1,1,0.3333333333333333,1.0,2.6666666666666665,2.0,1.3333333333333333,0.6666666666666666
27681,4,2026-02-25,finalizado,45,Grêmio,30,Atlético-MG,2.0,1.0,vitoria_mandante,3,3,0,1.0,2.0,2.3333333333333335,0.6666666666666666,1.6666666666666667,2.0
27678,4,2026-02-25,finalizado,56,Palmeiras,26,Fluminense,2.0,1.0,vitoria_mandante,3,3,0,2.3333333333333335,3.3333333333333335,1.3333333333333333,2.3333333333333335,1.3333333333333333,0.6666666666666666
27677,4,2026-02-26,finalizado,63,Santos,23,Vasco,2.0,1.0,vitoria_mandante,3,3,0,0.3333333333333333,1.3333333333333333,2.3333333333333335,0.3333333333333333,0.6666666666666666,1.3333333333333333
27679,4,2026-02-25,finalizado,64,Bragantino,185,Athletico-PR,1.0,1.0,empate,2,1,1,2.0,0.6666666666666666,0.6666666666666666,2.0,1.0,0.6666666666666666
27684,4,2026-02-25,finalizado,81,Remo,44,Internacional,1.0,1.0,empate,2,1,1,0.6666666666666666,1.6666666666666667,2.3333333333333335,0.3333333333333333,0.6666666666666666,1.6666666666666667
27682,4,2026-02-25,finalizado,84,Coritiba,57,São Paulo,0.0,1.0,vitoria_visitante,1,0,3,1.3333333333333333,1.6666666666666667,1.6666666666666667,2.3333333333333335,1.6666666666666667,0.6666666666666666
27685,5,2026-03-11,finalizado,18,Flamengo,37,Cruzeiro,2.0,0.0,vitoria_mandante,2,3,0,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.5,1.0,2.25
27686,5,2026-03-12,finalizado,23,Vasco,56,Palmeiras,2.0,1.0,vitoria_mandante,3,3,0,0.25,0.75,1.5,2.5,3.0,1.25
27690,5,2026-03-11,finalizado,30,Atlético-MG,44,Internacional,1.0,0.0,vitoria_mandante,1,3,0,0.5,1.5,2.0,0.5,0.75,1.5
27691,5,2026-03-12,finalizado,45,Grêmio,64,Bragantino,1.0,1.0,empate,2,1,1,1.5,2.0,2.0,1.75,0.75,0.75
27687,5,2026-03-12,finalizado,57,São Paulo,5,Chapecoense,2.0,0.0,vitoria_mandante,2,3,0,2.5,1.5,0.5,1.6666666666666667,2.6666666666666665,2.0
27689,5,2026-03-10,finalizado,60,Mirassol,63,Santos,2.0,2.0,empate,4,1,1,1.6666666666666667,2.0,1.6666666666666667,1.0,1.5,2.0
27688,5,2026-03-11,finalizado,65,Corinthians,84,Coritiba,0.0,2.0,vitoria_visitante,2,0,3,1.75,1.25,0.75,1.0,1.25,1.5
27693,5,2026-03-11,finalizado,68,Bahia,102,Vitória,1.0,1.0,empate,2,1,1,2.3333333333333335,1.3333333333333333,0.6666666666666666,1.0,1.3333333333333333,2.3333333333333335
27694,5,2026-03-12,finalizado,81,Remo,26,Fluminense,0.0,2.0,vitoria_visitante,2,0,3,0.75,1.5,2.0,1.75,1.25,1.0
27692,5,2026-03-29,finalizado,185,Athletico-PR,22,Botafogo,4.0,1.0,vitoria_mandante,5,3,0,1.75,1.0,0.75,1.0,2.3333333333333335,2.0
27704,6,2026-03-16,finalizado,5,Chapecoense,45,Grêmio,1.0,1.0,empate,2,1,1,1.25,2.0,2.0,1.4,1.8,1.8
27696,6,2026-03-14,finalizado,22,Botafogo,18,Flamengo,0.0,3.0,vitoria_visitante,3,0,3,0.75,2.0,2.5,1.75,1.5,1.0
27695,6,2026-03-15,finalizado,26,Fluminense,185,Athletico-PR,3.0,2.0,vitoria_mandante,5,3,0,2.0,1.4,0.8,2.0,1.6,0.8
27700,6,2026-03-15,finalizado,37,Cruzeiro,23,Vasco,3.0,3.0,empate,6,1,1,0.4,0.8,2.2,0.8,1.0,1.4
27701,6,2026-03-15,finalizado,44,Internacional,68,Bahia,0.0,1.0,vitoria_visitante,1,0,3,0.4,0.6,1.4,2.0,1.25,0.75
27698,6,2026-03-15,finalizado,56,Palmeiras,60,Mirassol,1.0,0.0,vitoria_mandante,1,3,0,2.0,2.6,1.4,1.5,2.0,1.75
27697,6,2026-03-15,finalizado,63,Santos,65,Corinthians,1.0,1.0,empate,2,1,1,1.0,1.6,2.0,1.4,1.0,1.0
27699,6,2026-03-15,finalizado,64,Bragantino,57,São Paulo,1.0,2.0,vitoria_visitante,3,0,3,1.6,0.8,0.8,2.6,1.6,0.4
27702,6,2026-03-15,finalizado,84,Coritiba,81,Remo,1.0,0.0,vitoria_mandante,1,3,0,1.4,1.4,1.2,0.6,1.2,2.0
27703,6,2026-03-14,finalizado,102,Vitória,30,Atlético-MG,2.0,0.0,vitoria_mandante,2,3,0,1.0,1.25,2.0,1.0,1.4,1.6
27714,7,2026-03-19,finalizado,5,Chapecoense,65,Corinthians,0.0,0.0,empate,0,1,1,1.2,1.8,1.8,1.6,1.0,0.8
27705,7,2026-03-19,finalizado,18,Flamengo,81,Remo,3.0,0.0,vitoria_mandante,3,3,0,2.0,1.8,0.8,0.6,1.2,1.8
27706,7,2026-03-18,finalizado,23,Vasco,26,Fluminense,3.0,2.0,vitoria_mandante,5,3,0,1.0,1.4,1.6,2.0,1.6,1.0
27710,7,2026-03-18,finalizado,30,Atlético-MG,57,São Paulo,1.0,0.0,vitoria_mandante,1,3,0,0.8,1.0,1.6,2.6,1.6,0.4
27711,7,2026-03-19,finalizado,45,Grêmio,102,Vitória,2.0,0.0,vitoria_mandante,2,3,0,1.6,1.8,1.6,1.4,1.4,1.6
27708,7,2026-03-18,finalizado,56,Palmeiras,22,Botafogo,2.0,1.0,vitoria_mandante,3,3,0,2.4,2.4,1.0,0.6,1.6,2.6
27709,7,2026-03-18,finalizado,60,Mirassol,84,Coritiba,0.0,1.0,vitoria_visitante,1,0,3,1.2,1.6,1.6,2.0,1.6,1.0
27707,7,2026-03-18,finalizado,63,Santos,44,Internacional,1.0,2.0,vitoria_visitante,3,0,3,1.2,1.4,1.4,0.4,0.6,1.4
27713,7,2026-03-18,finalizado,68,Bahia,64,Bragantino,2.0,0.0,vitoria_mandante,2,3,0,2.2,1.2,0.6,1.0,0.8,1.2
27712,7,2026-03-18,finalizado,185,Athletico-PR,37,Cruzeiro,2.0,1.0,vitoria_mandante,3,3,0,1.4,1.8,1.4,0.6,1.4,2.0
27716,8,2026-03-22,finalizado,23,Vasco,45,Grêmio,2.0,1.0,vitoria_mandante,3,3,0,1.4,1.8,1.8,1.6,1.2,1.0
27715,8,2026-03-21,finalizado,26,Fluminense,30,Atlético-MG,1.0,0.0,vitoria_mandante,1,3,0,1.8,1.8,1.4,1.4,1.2,1.4
27720,8,2026-03-22,finalizado,37,Cruzeiro,63,Santos,0.0,0.0,empate,0,1,1,0.6,1.4,2.0,1.0,1.4,1.6
27721,8,2026-03-22,finalizado,44,Internacional,5,Chapecoense,2.0,0.0,vitoria_mandante,2,3,0,0.8,0.8,1.4,0.8,1.0,1.4
27717,8,2026-03-21,finalizado,57,São Paulo,56,Palmeiras,0.0,1.0,vitoria_visitante,1,0,3,2.4,1.4,0.4,2.4,1.8,1.0
27719,8,2026-03-21,finalizado,64,Bragantino,22,Botafogo,1.0,2.0,vitoria_visitante,3,0,3,0.4,0.6,1.6,0.0,1.0,3.0
27718,8,2026-03-22,finalizado,65,Corinthians,18,Flamengo,1.0,1.0,empate,2,1,1,1.2,0.8,0.8,2.6,2.2,0.4
27724,8,2026-03-22,finalizado,81,Remo,68,Bahia,4.0,1.0,vitoria_mandante,5,3,0,0.4,0.8,2.0,2.2,1.2,0.4
27723,8,2026-03-22,finalizado,102,Vitória,60,Mirassol,1.0,0.0,vitoria_mandante,1,3,0,0.8,1.0,2.0,0.6,1.2,1.6
27722,8,2026-03-22,finalizado,185,Athletico-PR,84,Coritiba,2.0,0.0,vitoria_mandante,2,3,0,2.0,2.2,1.4,2.0,1.4,0.8
27734,9,2026-04-02,finalizado,5,Chapecoense,30,Atlético-MG,0.0,4.0,vitoria_visitante,4,0,3,0.6,0.8,1.6,1.2,0.6,1.0
27726,9,2026-04-01,finalizado,22,Botafogo,60,Mirassol,3.0,2.0,vitoria_mandante,5,3,0,0.6,0.8,2.2,0.4,0.8,1.4
27725,9,2026-04-01,finalizado,26,Fluminense,65,Corinthians,3.0,1.0,vitoria_mandante,4,3,0,1.8,1.8,1.4,0.8,0.6,1.0
27730,9,2026-04-01,finalizado,37,Cruzeiro,102,Vitória,3.0,0.0,vitoria_mandante,3,3,0,0.6,1.0,1.6,1.4,1.0,1.0
27731,9,2026-04-01,finalizado,44,Internacional,57,São Paulo,1.0,1.0,empate,2,1,1,1.4,1.0,0.8,1.8,1.0,0.6
27728,9,2026-04-02,finalizado,56,Palmeiras,45,Grêmio,2.0,1.0,vitoria_mandante,3,3,0,2.4,1.4,0.8,1.6,1.4,1.0
27727,9,2026-04-02,finalizado,63,Santos,81,Remo,2.0,0.0,vitoria_mandante,2,3,0,1.2,1.2,1.2,0.8,1.0,1.6
27729,9,2026-04-02,finalizado,64,Bragantino,18,Flamengo,3.0,0.0,vitoria_mandante,3,3,0,0.4,0.8,1.6,2.6,2.2,0.4
27733,9,2026-04-01,finalizado,68,Bahia,185,Athletico-PR,3.0,0.0,vitoria_mandante,3,3,0,2.0,1.2,1.0,2.0,2.2,1.2
27732,9,2026-04-01,finalizado,84,Coritiba,23,Vasco,1.0,1.0,empate,2,1,1,1.8,0.8,0.6,2.0,2.2,1.8
27744,10,2026-04-05,finalizado,5,Chapecoense,102,Vitória,1.0,1.0,empate,2,1,1,0.4,0.2,1.8,1.4,0.8,1.2
27735,10,2026-04-05,finalizado,18,Flamengo,63,Santos,3.0,1.0,vitoria_mandante,4,3,0,2.0,1.8,0.8,1.2,1.2,1.0
27736,10,2026-04-04,finalizado,23,Vasco,22,Botafogo,1.0,2.0,vitoria_visitante,3,0,3,2.2,2.2,1.6,1.2,1.4,2.4
27740,10,2026-04-05,finalizado,30,Atlético-MG,185,Athletico-PR,2.0,1.0,vitoria_mandante,3,3,0,1.8,1.2,0.6,1.8,2.0,1.6
27741,10,2026-04-05,finalizado,45,Grêmio,81,Remo,0.0,0.0,empate,0,1,1,1.0,1.2,1.2,0.6,0.8,1.8
27737,10,2026-04-04,finalizado,57,São Paulo,37,Cruzeiro,4.0,1.0,vitoria_mandante,5,3,0,1.4,1.0,0.8,1.0,1.4,1.4
27739,10,2026-04-05,finalizado,60,Mirassol,64,Bragantino,0.0,1.0,vitoria_visitante,1,0,3,0.2,0.8,1.6,0.8,1.2,1.4
27738,10,2026-04-05,finalizado,65,Corinthians,44,Internacional,0.0,1.0,vitoria_visitante,1,0,3,0.6,0.6,1.4,1.4,1.0,0.8
27743,10,2026-04-05,finalizado,68,Bahia,56,Palmeiras,1.0,2.0,vitoria_visitante,3,0,3,2.0,1.6,1.0,2.4,1.4,0.8
27742,10,2026-04-04,finalizado,84,Coritiba,26,Fluminense,1.0,1.0,empate,2,1,1,2.0,1.0,0.6,2.4,2.2,1.2
27746,11,2026-04-12,finalizado,22,Botafogo,84,Coritiba,2.0,2.0,empate,4,1,1,1.8,1.6,1.8,1.6,0.8,0.8
27745,11,2026-04-12,finalizado,26,Fluminense,18,Flamengo,1.0,2.0,vitoria_visitante,3,0,3,2.0,2.0,1.4,2.0,2.0,1.0
27750,11,2026-04-12,finalizado,37,Cruzeiro,64,Bragantino,2.0,1.0,vitoria_mandante,3,3,0,1.0,1.6,1.8,1.2,1.2,1.2
27751,11,2026-04-11,finalizado,44,Internacional,45,Grêmio,0.0,0.0,empate,0,1,1,2.0,1.2,0.6,1.0,1.0,1.0
27749,11,2026-04-11,finalizado,60,Mirassol,68,Bahia,1.0,2.0,vitoria_visitante,3,0,3,0.0,0.4,1.4,1.8,1.6,1.2
27747,11,2026-04-11,finalizado,63,Santos,30,Atlético-MG,1.0,0.0,vitoria_mandante,1,3,0,1.0,1.0,1.2,1.8,1.4,0.8
27748,11,2026-04-12,finalizado,65,Corinthians,56,Palmeiras,0.0,0.0,empate,0,1,1,0.6,0.6,1.2,3.0,1.6,0.6
27754,11,2026-04-11,finalizado,81,Remo,23,Vasco,1.0,1.0,empate,2,1,1,0.8,0.8,1.4,1.6,2.0,1.8
27753,11,2026-04-11,finalizado,102,Vitória,57,São Paulo,2.0,0.0,vitoria_mandante,2,3,0,1.4,0.8,1.2,1.4,1.4,1.0
27752,11,2026-04-12,finalizado,185,Athletico-PR,5,Chapecoense,2.0,0.0,vitoria_mandante,2,3,0,1.2,1.4,1.8,0.6,0.4,1.6
27764,12,2026-04-18,finalizado,5,Chapecoense,22,Botafogo,1.0,4.0,vitoria_visitante,5,0,3,0.4,0.2,1.8,2.0,2.0,1.6
27755,12,2026-04-19,finalizado,18,Flamengo,68,Bahia,2.0,0.0,vitoria_mandante,2,3,0,2.0,1.8,1.2,1.8,1.8,1.4
27756,12,2026-04-18,finalizado,23,Vasco,57,São Paulo,2.0,1.0,vitoria_mandante,3,3,0,1.6,1.6,1.4,0.8,1.0,1.2
27760,12,2026-04-18,finalizado,37,Cruzeiro,45,Grêmio,2.0,0.0,vitoria_mandante,2,3,0,1.4,1.4,1.4,1.0,0.8,0.8
27761,12,2026-04-19,finalizado,44,Internacional,60,Mirassol,1.0,2.0,vitoria_visitante,3,0,3,2.2,1.2,0.4,0.0,0.6,1.6
27758,12,2026-04-19,finalizado,56,Palmeiras,185,Athletico-PR,1.0,0.0,vitoria_mandante,1,3,0,2.6,1.4,0.6,1.8,1.4,1.2
27757,12,2026-04-19,finalizado,63,Santos,26,Fluminense,2.0,3.0,vitoria_visitante,5,0,3,1.4,1.0,1.0,1.4,1.6,1.4
27759,12,2026-04-19,finalizado,64,Bragantino,81,Remo,4.0,2.0,vitoria_mandante,6,3,0,1.2,1.2,1.2,1.0,1.0,1.4
27762,12,2026-04-19,finalizado,84,Coritiba,30,Atlético-MG,2.0,0.0,vitoria_mandante,2,3,0,1.2,1.0,1.2,1.8,1.4,0.6
27763,12,2026-04-18,finalizado,102,Vitória,65,Corinthians,0.0,0.0,empate,0,1,1,1.4,0.8,1.2,0.6,0.4,1.0
27766,13,2026-04-25,finalizado,22,Botafogo,44,Internacional,2.0,2.0,empate,4,1,1,2.6,2.6,1.4,1.6,1.0,0.6
27765,13,2026-04-26,finalizado,26,Fluminense,5,Chapecoense,2.0,1.0,vitoria_mandante,3,3,0,2.0,1.8,1.2,0.2,0.4,2.6
27770,13,2026-04-26,finalizado,30,Atlético-MG,18,Flamengo,0.0,4.0,vitoria_visitante,4,0,3,1.2,1.2,1.0,2.0,1.6,1.2
